zip,donations,total,NAME,variable,estimate,moe,Donations_Per100
20601,6976,190404.72999999975,ZCTA5 20601,population,25517,1367,273.38636987106634
20602,6758,109716.81999999996,ZCTA5 20602,population,26550,1088,254.53860640301318
20603,12854,248108.6100000006,ZCTA5 20603,population,31975,1042,402.00156372165753
20604,247,8033.67,NA,NA,NA,NA,NA
20606,11,131.43,ZCTA5 20606,population,374,186,29.41176470588235
20607,6889,181393.81000000043,ZCTA5 20607,population,10843,810,635.3407728488426
20608,337,2569.720000000003,ZCTA5 20608,population,860,191,391.8604651162791
20609,61,2290,ZCTA5 20609,population,1151,285,52.99739357080799
20610,68,1669.1999999999998,NA,NA,NA,NA,NA
20611,46,1206,ZCTA5 20611,population,1634,338,28.151774785801713
20612,21,399.17,ZCTA5 20612,population,203,146,103.44827586206897
20613,6436,170352.85000000012,ZCTA5 20613,population,14020,956,459.0584878744651
20614,21,409,NA,NA,NA,NA,NA
20615,25,633,ZCTA5 20615,population,421,190,59.38242280285035
20616,1703,38740.899999999994,ZCTA5 20616,population,6389,852,266.5518860541556
20617,274,7542.26,ZCTA5 20617,population,832,260,329.3269230769231
20618,313,6069.32,ZCTA5 20618,population,406,160,770.935960591133
20619,2733,63659.01000000006,ZCTA5 20619,population,15052,1018,181.57055540791922
20620,393,7357.65,ZCTA5 20620,population,1369,487,287.0708546384222
20621,66,967,ZCTA5 20621,population,960,329,68.75
20622,356,8922.109999999999,ZCTA5 20622,population,6887,865,51.69159285610571
20623,2075,33616.96000000001,ZCTA5 20623,population,2997,349,692.3590256923591
20624,60,795,ZCTA5 20624,population,1409,256,42.583392476933994
20625,454,9224.020000000004,ZCTA5 20625,population,646,301,702.7863777089783
20626,240,3636.8600000000006,ZCTA5 20626,population,304,120,789.4736842105264
20627,8,40,NA,NA,NA,NA,NA
20628,43,12163.26,ZCTA5 20628,population,477,275,90.14675052410902
20629,37,813,ZCTA5 20629,population,383,281,96.60574412532637
20630,371,24333.75,ZCTA5 20630,population,301,146,1232.5581395348836
20632,21,2812.5,ZCTA5 20632,population,432,187,48.611111111111114
20634,1095,27256.079999999944,ZCTA5 20634,population,6478,969,169.03365236184007
20635,23,1176,NA,NA,NA,NA,NA
20636,2316,58391.37,ZCTA5 20636,population,10805,1009,214.345210550671
20637,2083,40167.06999999999,ZCTA5 20637,population,5751,725,362.19787862980354
20638,24,729.74,NA,NA,NA,NA,NA
20639,3313,119571.28999999998,ZCTA5 20639,population,15793,662,209.77648325207372
20640,1569,24599.82999999998,ZCTA5 20640,population,10333,706,151.84360785831802
20644,33,659,NA,NA,NA,NA,NA
20645,199,10778.3,ZCTA5 20645,population,749,165,265.6875834445928
20646,5566,130374.95000000004,ZCTA5 20646,population,21951,939,253.56475786980093
20647,1,39.8,NA,NA,NA,NA,NA
20649,6,330,NA,NA,NA,NA,NA
20650,3964,144375.84000000023,ZCTA5 20650,population,14672,874,270.1744820065431
20653,3608,81705.0799999999,ZCTA5 20653,population,24274,1303,148.6364010875834
20656,38,1569.76,NA,NA,NA,NA,NA
20657,5067,125720.03000000009,ZCTA5 20657,population,19226,847,263.54936024133985
20658,288,10475.370000000004,ZCTA5 20658,population,848,241,339.62264150943395
20659,2061,66697.38,ZCTA5 20659,population,23312,1085,88.40940288263555
20660,5,190,ZCTA5 20660,population,0,12,Inf
20662,316,3207.0199999999995,ZCTA5 20662,population,2876,467,109.87482614742699
20663,6,135,NA,NA,NA,NA,NA
20664,225,19794.23,ZCTA5 20664,population,3462,532,64.99133448873484
20667,37,1525.39,ZCTA5 20667,population,633,385,58.45181674565561
20669,1,20,NA,NA,NA,NA,NA
20670,100,2542.67,ZCTA5 20670,population,1441,327,69.39625260235947
20674,355,9889.67,ZCTA5 20674,population,848,467,418.6320754716981
20675,265,13192.1,ZCTA5 20675,population,2017,453,131.38324243926624
20676,4042,51759.59,ZCTA5 20676,population,3848,519,1050.4158004158005
20677,666,19220.51,ZCTA5 20677,population,2416,392,275.6622516556291
20678,2380,49224.85999999996,ZCTA5 20678,population,12261,704,194.11141016230323
20679,1,250,NA,NA,NA,NA,NA
20680,87,6197.360000000001,ZCTA5 20680,population,934,356,93.14775160599571
20682,3,153,NA,NA,NA,NA,NA
20683,6,280,NA,NA,NA,NA,NA
20684,90,3067.24,ZCTA5 20684,population,1066,378,84.42776735459661
20685,2422,44961.41000000005,ZCTA5 20685,population,6942,684,348.8908095649669
20686,776,26377.35,ZCTA5 20686,population,1775,482,437.1830985915493
20687,80,2937.49,ZCTA5 20687,population,448,198,178.57142857142858
20688,3855,84676.29000000008,ZCTA5 20688,population,1749,378,2204.1166380789023
20689,201,18325.74,ZCTA5 20689,population,2081,342,96.58817876021143
20690,697,10894.629999999992,ZCTA5 20690,population,905,309,770.1657458563535
20691,4,84,NA,NA,NA,NA,NA
20692,161,5585.110000000001,ZCTA5 20692,population,899,402,179.08787541713014
20693,226,5676.370000000001,ZCTA5 20693,population,833,224,271.3085234093637
20694,3,28,NA,NA,NA,NA,NA
20695,4407,98344.96999999994,ZCTA5 20695,population,8089,893,544.8139448633948
20696,2,189.92,NA,NA,NA,NA,NA
20697,12,89,NA,NA,NA,NA,NA
20698,11,205.5,NA,NA,NA,NA,NA
20701,127,5610.76,ZCTA5 20701,population,92,83,1380.4347826086955
20702,2,42,NA,NA,NA,NA,NA
20703,225,2404.51,NA,NA,NA,NA,NA
20704,71,1503.76,NA,NA,NA,NA,NA
20705,8949,263127.96999999945,ZCTA5 20705,population,27663,1241,323.5007049126993
20706,12313,314519.8699999994,ZCTA5 20706,population,43670,1754,281.95557591023584
20707,16759,392772.42999999854,ZCTA5 20707,population,32798,979,510.97627904140495
20708,7135,155413.97000000026,ZCTA5 20708,population,27843,1315,256.258305498689
20709,69,826,NA,NA,NA,NA,NA
20710,645,28141.24,ZCTA5 20710,population,9553,326,67.51805715482047
20711,1572,67949.20999999996,ZCTA5 20711,population,7413,572,212.05989477944152
20712,4346,127500.21000000004,ZCTA5 20712,population,9608,384,452.33139050791004
20713,38,307,NA,NA,NA,NA,NA
20714,2108,41288.52999999997,ZCTA5 20714,population,4683,595,450.13879991458464
20715,17641,314771.77000000153,ZCTA5 20715,population,27556,977,640.1872550442735
20716,9976,277360.8199999999,ZCTA5 20716,population,22237,781,448.62166659171646
20717,56,1502.75,NA,NA,NA,NA,NA
20718,237,5407.000000000001,NA,NA,NA,NA,NA
20719,14,385,NA,NA,NA,NA,NA
20720,17274,545108.1899999978,ZCTA5 20720,population,22971,1046,751.9916416351051
20721,27247,1016134.5099999992,ZCTA5 20721,population,29730,1304,916.4816683484696
20722,4938,57960.55000000015,ZCTA5 20722,population,5728,379,862.0810055865921
20723,12363,402577.18000000034,ZCTA5 20723,population,35411,1115,349.12880178475615
20724,6276,110552.95999999986,ZCTA5 20724,population,17513,1129,358.3623593901673
20725,122,5023.42,NA,NA,NA,NA,NA
20726,62,948,NA,NA,NA,NA,NA
20727,5,13,NA,NA,NA,NA,NA
20729,3,70.17,NA,NA,NA,NA,NA
20730,2,25,NA,NA,NA,NA,NA
20731,115,653,NA,NA,NA,NA,NA
20732,4164,104842.46,ZCTA5 20732,population,9820,555,424.03258655804484
20733,1910,50651.11,ZCTA5 20733,population,2777,334,687.7925819229384
20734,20,578,NA,NA,NA,NA,NA
20735,15308,316990.6299999999,ZCTA5 20735,population,38220,1244,400.52328623757194
20736,3030,72934.04000000002,ZCTA5 20736,population,9248,627,327.6384083044982
20737,3706,102120.56000000011,ZCTA5 20737,population,22295,1170,166.2256111235703
20738,65,964,NA,NA,NA,NA,NA
20739,4,160,NA,NA,NA,NA,NA
20740,12587,317914.8899999996,ZCTA5 20740,population,31349,518,401.5120099524706
20741,1486,40967.22999999998,NA,NA,NA,NA,NA
20742,56,12867.61,ZCTA5 20742,population,6726,366,8.325899494498959
20743,6852,165297.1299999999,ZCTA5 20743,population,37888,1083,180.84881756756758
20744,31497,615052.9699999988,ZCTA5 20744,population,54925,1729,573.4547109695038
20745,12754,230824.93999999977,ZCTA5 20745,population,27790,1238,458.9420654911839
20746,5612,110835.93000000008,ZCTA5 20746,population,27041,1515,207.53670352427795
20747,9223,156460.6300000003,ZCTA5 20747,population,40484,1405,227.8183973915621
20748,12089,230580.97000000085,ZCTA5 20748,population,38904,1486,310.73925560353695
20749,123,2894.23,NA,NA,NA,NA,NA
20750,732,10758.440000000002,NA,NA,NA,NA,NA
20751,943,30918.42999999999,ZCTA5 20751,population,2091,311,450.98039215686276
20752,39,1026,NA,NA,NA,NA,NA
20753,147,2130,NA,NA,NA,NA,NA
20754,1806,52836.890000000014,ZCTA5 20754,population,7124,404,253.50926445816958
20755,718,13748.61,ZCTA5 20755,population,10873,893,66.03513289800424
20757,115,2539.17,NA,NA,NA,NA,NA
20758,169,6653.169999999999,ZCTA5 20758,population,451,164,374.72283813747225
20759,4003,216717.4500000003,ZCTA5 20759,population,5311,576,753.7186970438712
20762,160,2821.08,ZCTA5 20762,population,3079,382,51.96492367651835
20763,1067,16640.289999999997,ZCTA5 20763,population,1635,484,652.5993883792049
20764,1593,58113.28999999995,ZCTA5 20764,population,3829,522,416.03551841211805
20765,376,18800.06,ZCTA5 20765,population,407,168,923.8329238329238
20768,190,4025.74,NA,NA,NA,NA,NA
20769,7457,183612.53000000017,ZCTA5 20769,population,6222,722,1198.4892317582771
20770,17073,470197.8199999965,ZCTA5 20770,population,24560,555,695.1547231270358
20771,16,223,NA,NA,NA,NA,NA
20772,24555,701566.209999997,ZCTA5 20772,population,45321,1325,541.801813728735
20773,348,13695.669999999998,NA,NA,NA,NA,NA
20774,28133,790564.2600000018,ZCTA5 20774,population,47165,1538,596.4804410049826
20775,333,8819.52,NA,NA,NA,NA,NA
20776,1344,43335.319999999985,ZCTA5 20776,population,3271,604,410.8835218587588
20777,2707,111532.35999999994,ZCTA5 20777,population,3687,446,734.2012476267969
20778,1436,39547.169999999984,ZCTA5 20778,population,2079,446,690.7166907166908
20779,687,29339.599999999988,ZCTA5 20779,population,993,243,691.8429003021148
20781,5853,231033.8899999996,ZCTA5 20781,population,11694,815,500.5130836326321
20782,12863,595571.0799999984,ZCTA5 20782,population,33398,1594,385.14282292352834
20783,5720,339753.4999999998,ZCTA5 20783,population,45302,1659,126.26374111518254
20784,5749,90245.51000000014,ZCTA5 20784,population,30270,1081,189.92401717872482
20785,11413,374647.23999999976,ZCTA5 20785,population,38878,1238,293.55933947219506
20786,52,2143.299999999999,NA,NA,NA,NA,NA
20787,24,339,NA,NA,NA,NA,NA
20788,2,20,NA,NA,NA,NA,NA
20790,2,1760,NA,NA,NA,NA,NA
20791,70,2046.19,NA,NA,NA,NA,NA
20792,210,9272.24,NA,NA,NA,NA,NA
20794,2890,65081.25000000002,ZCTA5 20794,population,17939,1258,161.1015106750655
20795,77,1970,NA,NA,NA,NA,NA
20796,3,102,NA,NA,NA,NA,NA
20797,2,28,NA,NA,NA,NA,NA
20798,7,89,NA,NA,NA,NA,NA
20801,6,1104,NA,NA,NA,NA,NA
20802,47,1088.26,NA,NA,NA,NA,NA
20803,14,140,NA,NA,NA,NA,NA
20804,15,607,NA,NA,NA,NA,NA
20805,125,6799.7,NA,NA,NA,NA,NA
20806,24,436,NA,NA,NA,NA,NA
20807,7,121,NA,NA,NA,NA,NA
20810,19,2173,NA,NA,NA,NA,NA
20812,416,82029.63,ZCTA5 20812,population,309,71,1346.2783171521035
20813,8,280,NA,NA,NA,NA,NA
20814,54366,3840965.980000051,ZCTA5 20814,population,29021,899,1873.333103614624
20815,77637,9090681.019999975,ZCTA5 20815,population,30664,861,2531.8614662144532
20816,35071,3206491.790000002,ZCTA5 20816,population,16316,556,2149.485167933317
20817,65357,5935171.610000005,ZCTA5 20817,population,37315,971,1751.4940372504354
20818,3976,339569.6300000002,ZCTA5 20818,population,1971,267,2017.250126839168
20820,1,20,NA,NA,NA,NA,NA
20822,1,5,NA,NA,NA,NA,NA
20823,2,50,NA,NA,NA,NA,NA
20824,474,28802.58,NA,NA,NA,NA,NA
20825,553,11115.52,NA,NA,NA,NA,NA
20826,27,1062,NA,NA,NA,NA,NA
20827,182,12166.57,NA,NA,NA,NA,NA
20828,2,12,NA,NA,NA,NA,NA
20830,139,1310,NA,NA,NA,NA,NA
20832,15646,505974.4099999999,ZCTA5 20832,population,26437,669,591.8220675568332
20833,4572,170021.89000000042,ZCTA5 20833,population,7369,537,620.4369656669833
20834,29,915,NA,NA,NA,NA,NA
20835,41,413,NA,NA,NA,NA,NA
20836,32,871.25,NA,NA,NA,NA,NA
20837,4684,155442.2500000004,ZCTA5 20837,population,6287,276,745.0294257992683
20838,448,18843.38,ZCTA5 20838,population,302,124,1483.4437086092717
20839,462,11704.82,ZCTA5 20839,population,97,132,4762.886597938144
20840,21,105,NA,NA,NA,NA,NA
20841,4010,161266.3100000001,ZCTA5 20841,population,11443,728,350.4325788691777
20842,978,55610.649999999994,ZCTA5 20842,population,1676,254,583.5322195704057
20844,47,1252.5,NA,NA,NA,NA,NA
20845,2,100,NA,NA,NA,NA,NA
20847,11,529,NA,NA,NA,NA,NA
20848,42,757.49,NA,NA,NA,NA,NA
20849,375,4026.31,NA,NA,NA,NA,NA
20850,45289,1625183.4800000193,ZCTA5 20850,population,53176,1215,851.6812095682262
20851,5030,158464.17000000016,ZCTA5 20851,population,15489,1214,324.7465943572858
20852,48307,1984718.029999996,ZCTA5 20852,population,46178,1465,1046.1042054658062
20853,19911,556389.1599999968,ZCTA5 20853,population,31061,945,641.0289430475516
20854,55150,4750407.0800000075,ZCTA5 20854,population,49189,1010,1121.1856309337454
20855,10620,442482.6699999997,ZCTA5 20855,population,15287,1038,694.70792176359
20856,15,782,NA,NA,NA,NA,NA
20858,7,92,NA,NA,NA,NA,NA
20859,329,43985.94,NA,NA,NA,NA,NA
20860,4148,138927.70000000022,ZCTA5 20860,population,2855,611,1452.889667250438
20861,2729,124085.48999999998,ZCTA5 20861,population,1449,285,1883.367839889579
20862,260,16786.32,ZCTA5 20862,population,341,98,762.4633431085044
20864,52,1064,NA,NA,NA,NA,NA
20865,38,1886,NA,NA,NA,NA,NA
20866,6180,175550.99000000046,ZCTA5 20866,population,16365,961,377.6351970669111
20867,14,1045,NA,NA,NA,NA,NA
20868,451,11939.11,ZCTA5 20868,population,780,281,578.2051282051283
20869,7,305,NA,NA,NA,NA,NA
20870,9,450,NA,NA,NA,NA,NA
20871,8598,204083.8700000006,ZCTA5 20871,population,18628,923,461.56323813613915
20872,7302,125311.22000000012,ZCTA5 20872,population,12603,664,579.3858605094025
20873,6,225,NA,NA,NA,NA,NA
20874,22381,527915.7199999968,ZCTA5 20874,population,61087,1882,366.37909866256325
20875,256,7279.070000000001,NA,NA,NA,NA,NA
20876,9660,214333.43000000037,ZCTA5 20876,population,30778,1207,313.8605497433232
20877,15286,371444.01,ZCTA5 20877,population,38423,1388,397.83463029956016
20878,41096,1313016.679999994,ZCTA5 20878,population,63030,1254,652.0069808027923
20879,10054,219295.58000000264,ZCTA5 20879,population,26164,1451,384.26846048004893
20880,1356,52557.24000000001,ZCTA5 20880,population,547,128,2478.9762340036564
20882,8651,261341.96000000025,ZCTA5 20882,population,13988,703,618.4586788676007
20883,100,50776.7,NA,NA,NA,NA,NA
20884,42,388,NA,NA,NA,NA,NA
20885,98,2054.08,NA,NA,NA,NA,NA
20886,16207,362243.20999999874,ZCTA5 20886,population,34834,1343,465.26382270195785
20887,32,455,NA,NA,NA,NA,NA
20889,2,28,NA,NA,NA,NA,NA
20892,5,500,NA,NA,NA,NA,NA
20893,39,539,NA,NA,NA,NA,NA
20894,13,230,NA,NA,NA,NA,NA
20895,26497,1347975.3600000064,ZCTA5 20895,population,19026,651,1392.6731840639127
20896,1962,161566.2600000002,ZCTA5 20896,population,775,128,2531.6129032258063
20897,9,58,NA,NA,NA,NA,NA
20898,42,481.23,NA,NA,NA,NA,NA
20899,30,3050,ZCTA5 20899,population,295,127,101.6949152542373
20901,42989,1309525.8700000062,ZCTA5 20901,population,36278,1200,1184.9881470863886
20902,29875,1073108.0000000023,ZCTA5 20902,population,52908,1695,564.6594087850608
20903,6587,250580.09999999992,ZCTA5 20903,population,27973,1683,235.47706717191576
20904,41324,1477418.6700000064,ZCTA5 20904,population,55275,1657,747.6074174581637
